Table,Measure,DAX Formula,Format String
fact_shipment_risk,Average Late Arrival Hours,AVERAGE(fact_shipment_risk[late_arrival_hours]),
fact_shipment_risk,Average Risk Score,AVERAGE(fact_shipment_risk[risk_score]),
fact_shipment_risk,Critical Risk Rate %,"DIVIDE([Critical Shipments], [Total Shipments], 0)",
fact_shipment_risk,Critical Shipments,"CALCULATE([Total Shipments], fact_shipment_risk[risk_level] = ""Critical"")",
fact_shipment_risk,Delivered Shipments,"CALCULATE([Total Shipments], fact_shipment_risk[shipment_status] = ""Delivered"")",
fact_shipment_risk,High-Risk Rate %,"DIVIDE([High-Risk Shipments], [Total Shipments], 0)",
fact_shipment_risk,High-Risk Shipments,"CALCULATE([Total Shipments], fact_shipment_risk[risk_level] IN {""High"", ""Critical""})",
fact_shipment_risk,Total Shipment Value INR,SUM(fact_shipment_risk[shipment_value_inr]),
fact_shipment_risk,Total Shipments,COUNTROWS(fact_shipment_risk),
fact_temperature_incidents,Average Temperature Deviation,AVERAGE(fact_temperature_incidents[temperature_deviation_c]),
fact_temperature_incidents,Critical Temperature Incidents,"CALCULATE([Temperature Incidents], fact_temperature_incidents[incident_severity] = ""Critical"")",
fact_temperature_incidents,High Temperature Incidents,"CALCULATE([Temperature Incidents], fact_temperature_incidents[incident_severity] = ""High"")",
fact_temperature_incidents,Maximum Temperature Deviation,MAX(fact_temperature_incidents[temperature_deviation_c]),
fact_temperature_incidents,Temperature Incidents,COUNTROWS(fact_temperature_incidents),
