reading_id,shipment_id,sensor_device_id,captured_at_utc,temperature_c,humidity_pct,battery_pct,latitude,longitude
RD0000100,SHP00001,SNS0001,2026-08-20 13:00:00,4.34,45.6,97.2,19.076,72.877
RD0000101,SHP00001,SNS0001,2026-08-20 15:00:00,5.33,56.3,93.6,18.9351,73.3445
RD0000102,SHP00001,SNS0001,2026-08-20 17:00:00,4.42,42.5,91.9,18.7942,73.812
RD0000103,SHP00001,SNS0001,2026-08-20 19:00:00,4.61,42.4,89.3,18.6532,74.2795
RD0000104,SHP00001,SNS0001,2026-08-20 21:00:00,4.58,50.7,86.5,18.5123,74.747
RD0000105,SHP00001,SNS0001,2026-08-20 23:00:00,4.61,55.0,84.2,18.3714,75.2145
RD0000106,SHP00001,SNS0001,2026-08-21 01:00:00,4.31,53.2,81.2,18.2305,75.682
RD0000107,SHP00001,SNS0001,2026-08-21 03:00:00,4.78,57.3,80.7,18.0896,76.1495
RD0000108,SHP00001,SNS0001,2026-08-21 05:00:00,4.77,43.5,78.5,17.9487,76.617
RD0000109,SHP00001,SNS0001,2026-08-21 07:00:00,5.49,54.9,74.6,17.8078,77.0845
RD0000110,SHP00001,SNS0001,2026-08-21 09:00:00,5.32,57.6,72.4,17.6668,77.552
RD0000111,SHP00001,SNS0001,2026-08-21 11:00:00,4.83,55.3,69.9,17.5259,78.0195
RD0000200,SHP00002,SNS0002,2026-08-20 20:00:00,5.54,45.1,96.9,18.52,73.857
RD0000201,SHP00002,SNS0002,2026-08-20 22:00:00,4.4,54.4,93.6,18.0669,74.3915
RD0000202,SHP00002,SNS0002,2026-08-21 00:00:00,5.68,55.9,90.6,17.6138,74.926
RD0000203,SHP00002,SNS0002,2026-08-21 02:00:00,4.83,55.3,89.4,17.1608,75.4605
RD0000204,SHP00002,SNS0002,2026-08-21 04:00:00,4.53,52.7,87.3,16.7077,75.995
RD0000205,SHP00002,SNS0002,2026-08-21 06:00:00,5.28,43.1,83.9,16.2546,76.5295
RD0000206,SHP00002,SNS0002,2026-08-21 08:00:00,5.19,45.9,82.0,15.8015,77.064
RD0000207,SHP00002,SNS0002,2026-08-21 10:00:00,4.95,56.8,80.4,15.3484,77.5985
RD0000208,SHP00002,SNS0002,2026-08-21 12:00:00,5.26,47.2,78.1,14.8953,78.133
RD0000209,SHP00002,SNS0002,2026-08-21 14:00:00,5.38,55.1,76.2,14.4423,78.6675
RD0000210,SHP00002,SNS0002,2026-08-21 16:00:00,5.43,43.1,72.8,13.9892,79.202
RD0000211,SHP00002,SNS0002,2026-08-21 18:00:00,5.58,53.5,69.9,13.5361,79.7365
RD0000300,SHP00003,SNS0003,2026-08-21 03:00:00,-23.78,56.6,96.8,12.972,77.595
RD0000301,SHP00003,SNS0003,2026-08-21 05:00:00,-24.06,45.9,94.8,14.2755,77.5628
RD0000302,SHP00003,SNS0003,2026-08-21 07:00:00,-23.91,51.4,92.4,15.579,77.5307
RD0000303,SHP00003,SNS0003,2026-08-21 09:00:00,-23.44,45.5,89.6,16.8825,77.4985
RD0000304,SHP00003,SNS0003,2026-08-21 11:00:00,-23.3,43.5,86.9,18.186,77.4663
RD0000305,SHP00003,SNS0003,2026-08-21 13:00:00,-24.63,52.0,85.7,19.4895,77.4342
RD0000306,SHP00003,SNS0003,2026-08-21 15:00:00,-23.59,43.0,82.3,20.793,77.402
RD0000307,SHP00003,SNS0003,2026-08-21 17:00:00,-24.17,50.5,78.2,22.0965,77.3698
RD0000308,SHP00003,SNS0003,2026-08-21 19:00:00,-23.34,42.2,76.2,23.4,77.3377
RD0000309,SHP00003,SNS0003,2026-08-21 21:00:00,-23.69,50.6,74.4,24.7035,77.3055
RD0000310,SHP00003,SNS0003,2026-08-21 23:00:00,-24.33,43.8,72.1,26.007,77.2733
RD0000311,SHP00003,SNS0003,2026-08-22 01:00:00,-24.09,57.3,70.2,27.3105,77.2412
RD0000400,SHP00004,SNS0004,2026-08-21 10:00:00,4.66,50.1,95.7,17.385,78.487
RD0000401,SHP00004,SNS0004,2026-08-21 12:00:00,3.45,55.5,93.7,17.5259,78.0195
RD0000402,SHP00004,SNS0004,2026-08-21 14:00:00,4.01,48.0,92.6,17.6668,77.552
RD0000403,SHP00004,SNS0004,2026-08-21 16:00:00,3.53,56.8,87.9,17.8078,77.0845
RD0000404,SHP00004,SNS0004,2026-08-21 18:00:00,4.59,49.8,86.6,17.9487,76.617
RD0000405,SHP00004,SNS0004,2026-08-21 20:00:00,3.46,57.8,84.9,18.0896,76.1495
RD0000406,SHP00004,SNS0004,2026-08-21 22:00:00,4.43,45.9,82.9,18.2305,75.682
RD0000407,SHP00004,SNS0004,2026-08-22 00:00:00,4.09,53.7,81.0,18.3714,75.2145
