shipment_item_id,shipment_id,product_id,quantity,declared_unit_value_inr
ITM00001,SHP00001,PRD001,33,950
ITM00002,SHP00002,PRD002,46,1800
ITM00003,SHP00003,PRD003,59,4200
ITM00004,SHP00004,PRD004,72,160
ITM00005,SHP00005,PRD005,85,1100
ITM00005B,SHP00005,PRD001,20,950
ITM00006,SHP00006,PRD006,98,620
ITM00007,SHP00007,PRD007,111,380
ITM00008,SHP00008,PRD008,124,540
ITM00009,SHP00009,PRD001,137,950
ITM00010,SHP00010,PRD002,150,1800
ITM00010B,SHP00010,PRD006,25,620
ITM00011,SHP00011,PRD003,163,4200
ITM00012,SHP00012,PRD004,176,160
ITM00013,SHP00013,PRD005,189,1100
ITM00014,SHP00014,PRD006,22,620
ITM00015,SHP00015,PRD007,35,380
ITM00015B,SHP00015,PRD003,30,4200
ITM00016,SHP00016,PRD008,48,540
ITM00017,SHP00017,PRD001,61,950
ITM00018,SHP00018,PRD002,74,1800
ITM00019,SHP00019,PRD003,87,4200
ITM00020,SHP00020,PRD004,100,160
ITM00020B,SHP00020,PRD008,35,540
ITM00021,SHP00021,PRD005,113,1100
ITM00022,SHP00022,PRD006,126,620
ITM00023,SHP00023,PRD007,139,380
ITM00024,SHP00024,PRD008,152,540
ITM00025,SHP00025,PRD001,165,950
ITM00025B,SHP00025,PRD005,40,1100
ITM00026,SHP00026,PRD002,178,1800
ITM00027,SHP00027,PRD003,191,4200
ITM00028,SHP00028,PRD004,24,160
ITM00029,SHP00029,PRD005,37,1100
ITM00030,SHP00030,PRD006,50,620
ITM00030B,SHP00030,PRD002,45,1800
ITM00031,SHP00031,PRD007,63,380
ITM00032,SHP00032,PRD008,76,540
ITM00033,SHP00033,PRD001,89,950
ITM00034,SHP00034,PRD002,102,1800
ITM00035,SHP00035,PRD003,115,4200
ITM00035B,SHP00035,PRD007,50,380
ITM00036,SHP00036,PRD004,128,160
