shipment_id,carrier_id,origin_warehouse_id,destination_warehouse_id,planned_departure_utc,expected_arrival_utc,actual_arrival_utc,shipment_status,sensor_device_id,priority
SHP00001,CAR001,WH001,WH004,2026-08-20 13:00:00,2026-08-21 10:00:00,2026-08-21 08:00:00,Delivered,SNS0001,Critical
SHP00002,CAR002,WH002,WH005,2026-08-20 20:00:00,2026-08-21 22:00:00,2026-08-22 00:00:00,Delivered,SNS0002,Critical
SHP00003,CAR003,WH003,WH006,2026-08-21 03:00:00,2026-08-22 10:00:00,2026-08-22 09:00:00,Delivered,SNS0003,Critical
SHP00004,CAR004,WH004,WH001,2026-08-21 10:00:00,2026-08-22 02:00:00,2026-08-22 02:00:00,Delivered,SNS0004,Standard
SHP00005,CAR001,WH005,WH002,2026-08-21 17:00:00,2026-08-22 14:00:00,2026-08-22 13:00:00,Delivered,SNS0005,Standard
SHP00006,CAR002,WH006,WH003,2026-08-22 00:00:00,2026-08-23 02:00:00,2026-08-23 01:00:00,Delivered,SNS0006,Standard
SHP00007,CAR003,WH001,WH004,2026-08-22 07:00:00,2026-08-23 14:00:00,2026-08-23 22:00:00,Delivered,SNS0007,Standard
SHP00008,CAR004,WH002,WH005,2026-08-22 14:00:00,2026-08-23 06:00:00,2026-08-23 04:00:00,Delivered,SNS0008,Standard
SHP00009,CAR001,WH003,WH006,2026-08-22 21:00:00,2026-08-23 18:00:00,2026-08-23 16:00:00,Delivered,SNS0009,Critical
SHP00010,CAR002,WH004,WH001,2026-08-23 04:00:00,2026-08-24 06:00:00,2026-08-24 07:00:00,Delivered,SNS0010,Critical
SHP00011,CAR003,WH005,WH002,2026-08-23 11:00:00,2026-08-24 18:00:00,2026-08-24 20:00:00,Delivered,SNS0011,Critical
SHP00012,CAR004,WH006,WH003,2026-08-23 18:00:00,2026-08-24 10:00:00,2026-08-24 10:00:00,Delivered,SNS0012,Standard
SHP00013,CAR001,WH001,WH004,2026-08-24 01:00:00,2026-08-24 22:00:00,2026-08-25 00:00:00,Delivered,SNS0013,Standard
SHP00014,CAR002,WH002,WH005,2026-08-24 08:00:00,2026-08-25 10:00:00,2026-08-25 18:00:00,Delivered,SNS0014,Standard
SHP00015,CAR003,WH003,WH006,2026-08-24 15:00:00,2026-08-25 22:00:00,2026-08-25 20:00:00,Delivered,SNS0015,Standard
SHP00016,CAR004,WH004,WH001,2026-08-24 22:00:00,2026-08-25 14:00:00,2026-08-25 12:00:00,Delivered,SNS0016,Standard
SHP00017,CAR001,WH005,WH002,2026-08-25 05:00:00,2026-08-26 02:00:00,2026-08-26 02:00:00,Delivered,SNS0017,Critical
SHP00018,CAR002,WH006,WH003,2026-08-25 12:00:00,2026-08-26 14:00:00,2026-08-26 16:00:00,Delivered,SNS0018,Critical
SHP00019,CAR003,WH001,WH004,2026-08-25 19:00:00,2026-08-27 02:00:00,2026-08-27 04:00:00,Delivered,SNS0019,Critical
SHP00020,CAR004,WH002,WH005,2026-08-26 02:00:00,2026-08-26 18:00:00,2026-08-26 20:00:00,Delivered,SNS0020,Standard
SHP00021,CAR001,WH003,WH006,2026-08-26 09:00:00,2026-08-27 06:00:00,2026-08-27 14:00:00,Delivered,SNS0021,Standard
SHP00022,CAR002,WH004,WH001,2026-08-26 16:00:00,2026-08-27 18:00:00,2026-08-27 17:00:00,Delivered,SNS0022,Standard
SHP00023,CAR003,WH005,WH002,2026-08-26 23:00:00,2026-08-28 06:00:00,2026-08-28 04:00:00,Delivered,SNS0023,Standard
SHP00024,CAR004,WH006,WH003,2026-08-27 06:00:00,2026-08-27 22:00:00,,In Transit,SNS0024,Standard
SHP00025,CAR001,WH001,WH004,2026-08-27 13:00:00,2026-08-28 10:00:00,,In Transit,SNS0025,Critical
SHP00026,CAR002,WH002,WH005,2026-08-27 20:00:00,2026-08-28 22:00:00,,In Transit,SNS0026,Critical
SHP00027,CAR003,WH003,WH006,2026-08-28 03:00:00,2026-08-29 10:00:00,,In Transit,SNS0027,Critical
SHP00028,CAR004,WH004,WH001,2026-08-28 10:00:00,2026-08-29 02:00:00,,In Transit,SNS0028,Standard
SHP00029,CAR001,WH005,WH002,2026-08-28 17:00:00,2026-08-29 14:00:00,,In Transit,SNS0029,Standard
SHP00030,CAR002,WH006,WH003,2026-08-29 00:00:00,2026-08-30 02:00:00,,In Transit,SNS0030,Standard
SHP00031,CAR003,WH001,WH004,2026-08-29 07:00:00,2026-08-30 14:00:00,,In Transit,SNS0031,Standard
SHP00032,CAR004,WH002,WH005,2026-08-29 14:00:00,2026-08-30 06:00:00,,In Transit,SNS0032,Standard
SHP00033,CAR001,WH003,WH006,2026-08-29 21:00:00,2026-08-30 18:00:00,,In Transit,SNS0033,Critical
SHP00034,CAR002,WH004,WH001,2026-08-30 04:00:00,2026-08-31 06:00:00,,Planned,SNS0034,Critical
SHP00035,CAR003,WH005,WH002,2026-08-30 11:00:00,2026-08-31 18:00:00,,Planned,SNS0035,Critical
SHP00036,CAR004,WH006,WH003,2026-08-30 18:00:00,2026-08-31 10:00:00,,Planned,SNS0036,Standard
